dataset_id,dataset_name,analytical_module,hazard_type,scenario_type,time_period,spatial_resolution_m,geographic_coverage,data_format,access_type,download_url,gee_asset_id,license,citation,doi,version,preprocessing_notes,limitations,description,grain_type,admin_level
osm_road_network,OpenStreetMap Road Network,structural_suitability,,,Updated continuously (use annual snapshot),,"[""global""]",shapefile,direct_download,https://download.geofabrik.de/,,ODbL-1.0,OpenStreetMap contributors (2024). OpenStreetMap. www.openstreetmap.org.,,2024 annual snapshot,Compute Euclidean distance to nearest road of any class. Used by Chuma et al. (2021) as infrastructure accessibility layer. Apply 5km threshold as moderate accessibility constraint for agroforestry market access. is_scenario_candidate = true (road investment can change this).,"OSM coverage quality is highly variable in rural sub-Saharan Africa, Central Asia, and remote tropical regions — significant under-mapping in key project areas. Validate against national road datasets where possible. Not for: Routing or logistics planning; travel-time modelling without validation","OpenStreetMap global road network vector lines, multiple admin levels.",vector,
worldpop_population_density,"WorldPop Population Density 2020 (constrained, 100m)",exposure,,,2020,100,"[""global""]",geotiff_cog,direct_download,https://hub.worldpop.org/geodata/listing?id=75,WorldPop/GP/100m/pop,CC-BY-4.0,WorldPop (2020). Global High Resolution Population Denominators Project - Funded by The Bill & Melinda Gates Foundation (OPP1134076). University of Southampton.,10.5258/SOTON/WP00674,2020,Aggregate to 1 km for pipeline. Use as proxy for population exposure in climate risk and as denominator for opportunity space poverty metrics.,Constrained model relies on settlement/building footprint mapping — may undercount nomadic/dispersed rural populations. Accuracy varies with census quality of input data. Not for: Individual household targeting; electoral boundary analysis,Global gridded population estimates at 100 m for the year stated (WorldPop).,grid,
fao_gsoc_map,FAO Global Soil Organic Carbon Map (GSOCmap) v1.6.1,opportunity_space,,,circa 2010–2015,1000,"[""global""]",geotiff,direct_download,https://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/global-soil-organic-carbon-map-gsocmap/en/,,CC-BY-4.0,"FAO & ITPS (2018). Global Soil Organic Carbon Map (GSOCmap) v1.6.1. Technical Report. FAO, Rome.",10.4060/I8891EN,v1.6.1,Use as carbon co-benefit layer in opportunity space. Mendonça et al. (2023) use SOC sequestration potential as an agroforestry prioritisation criterion. Kiziridis et al. (2026) map silvopastoral carbon sequestration. Complement with FAO GSOCseq for sequestration rate.,Country submissions vary in quality and methodology. National and sub-national SOC maps (where available) should be used in preference. Not for: Carbon crediting baselines without country-specific validation; REDD+ baseline setting,FAO Global Soil Organic Carbon map — country-validated 1 km topsoil (0-30 cm) SOC stocks.,grid,
gaez_v4_aez33,FAO-IIASA Global Agro-Ecological Zones v4 (33-class AEZ),geographic_context,,,1981–2010,1000,"[""global""]",geotiff,direct_download,https://gaez.fao.org/,,CC-BY-4.0,"FAO & IIASA (2021). Global Agro-Ecological Zones – GAEZ v4. FAO, Rome & IIASA, Laxenburg.",10.4060/cb4744en,v4,"Use for AEZ context classification in T7. Key AEZ groups for agroforestry context overrides: humid tropics, sub-humid tropics, semi-arid, highland tropics.",AEZ boundaries are climate-envelope based and do not capture soil or management diversity within zones. Not for: Crop yield modelling at field scale,Global Agro-Ecological Zones v4 — 33-class agro-ecological zoning at ~1 km.,grid,
fao_farming_systems,FAO/IFAD Farming Systems of the World (Dixon et al. 2001 / updated),geographic_context,,,circa 2000,10000,"[""developing_regions""]",shapefile,direct_download,https://www.fao.org/family-farming/detail/en/c/285215/,,CC-BY-4.0,"Dixon, J., Gulliver, A. & Gibbon, D. (2001). Farming Systems and Poverty: Improving Farmers' Livelihoods in a Changing World. FAO and World Bank, Rome & Washington D.C.",,2001 (base); updated regional maps where available,Rasterize at 10 km then resample to 1 km with majority resampling. Used to populate T7 farming system contexts and to apply context-specific suitability overrides in T4.,Classification is 20+ years old; agricultural systems have shifted significantly in some regions. Mixed-farming boundaries are expert-delineated and coarse. Not for: Subnational farming system analysis without local validation,FAO Dixon farming-systems typology for developing regions (Africa/Asia/Latin America).,grid,
world_bank_poverty_pip,World Bank Poverty and Inequality Platform — Subnational Poverty Estimates,opportunity_space,,,Most recent available (2015–2023),,"[""global""]",csv,api,https://pip.worldbank.org/,,CC-BY-4.0,"World Bank (2024). Poverty and Inequality Platform (PIP). World Bank Group, Washington DC.",,2024 release,Interpolate to raster using admin boundary weights and WorldPop population density. Combine with spatial poverty maps (e.g. CGIAR CELL5M poverty layers) for higher-resolution estimates.,Sub-national resolution limited to admin-1 or -2 in most countries. Survey years vary. Does not capture within-admin spatial variation. Not for: Household targeting; beneficiary selection for project implementation,World Bank PIP subnational poverty headcount estimates at admin-1 (admin-2 where available).,admin,admin1
hansen_treecover2000,Hansen/UMD/Google/USGS/NASA Global Forest Change (Tree Cover),opportunity_space,,,2000–2023,30,"[""global""]",geotiff_cog,gee_asset,https://earthenginepartners.appspot.com/science-2013-global-forest,UMD/hansen/global_forest_change_2023_v1_11,CC-BY-4.0,"Hansen, M.C. et al. (2013). High-Resolution Global Maps of 21st-Century Forest Cover Change. Science, 342(6160), 850–853.",10.1126/science.1244693,v1.11 (2023),Current tree cover = baseline (2000) − loss + gain. Used to identify areas below 10% tree cover as agroforestry expansion opportunity and areas with existing tree cover for context. Singh et al. (2024) and Ahmad et al. (2020) use Hansen tree cover as AF suitability input.,Confusion between natural forest and plantation/agroforestry systems. Understory trees in agroforestry are often missed at 30m resolution. Not for: Legal deforestation monitoring for jurisdictional REDD+; plot-level timber volume,Global Forest Change tree cover and loss layers (Hansen et al.) at 30 m.,grid,
chirps_precipitation_v2,WorldClim v2.1 Monthly Precipitation,climate_hazard,drought,baseline,1970-2000,1000,"[""global""]",geotiff_cog,direct_download,https://www.worldclim.org/data/worldclim21.html,WORLDCLIM/V1/MONTHLY,CC-BY-4.0,"Fick, S.E. & Hijmans, R.J. (2017). WorldClim 2: new 1km spatial resolution climate surfaces for global land areas. International Journal of Climatology, 37(12), 4302-4315.",10.1002/joc.5086,v2.1,Rainfall is the second most frequent input variable (38 of 85 papers). Extract mean annual precipitation and wet-season monthly totals. Use for SCS-CN runoff depth calculation combined with HSG soil map. Buraihi & Shariff (2015) use projected precipitation to assess future RWH viability under climate change.,30-year climatological mean; interannual variability not captured. Resolution too coarse for localised orographic precipitation in complex terrain. Not for: Flood frequency analysis; design-storm estimation for dam sizing,"Climate Hazards Group InfraRed Precipitation with Stations, ~5 km daily precipitation 1981-present.",grid,
scs_cn_runoff_composite,HydroSHEDS Watershed Boundaries and River Network,geographic_context,,,2000 (SRTM-derived),90,"[""global""]",shapefile,direct_download,https://www.hydrosheds.org/,WWF/HydroSHEDS/v1/Basins/hybas_12,CC-BY-4.0,"Lehner, B. et al. (2008). New global hydrography derived from spaceborne elevation data. Eos, Transactions AGU, 89(10), 93-94.",10.1029/2008EO100001,v1,Use HydroBASINS level 8-10 for sub-watershed delineation context. Stream order used as a primary RWH site-type discriminator: first/second-order streams suit check dams and gully plugs; third/fourth-order streams suit percolation tanks; larger streams suit small dams. Kumar et al. (2018) and Singh et al. (2016) use stream order as a primary MCDA criterion.,Derived from 3-arc-second SRTM; misses ephemeral channels in flat arid terrain. Resolution insufficient for first-order gully mapping. Not for: Detailed gully morphometry; flash flood routing,Composite SCS curve-number runoff potential surface combining land-cover and hydrologic soil group.,grid,
srtm_dem_30m,SRTM DEM 30m,structural_suitability,,,2000,30,"[""global""]",geotiff_cog,gee_asset,https://dwtkns.com/srtm30m/,USGS/SRTMGL1_003,Public domain (NASA),Farr et al. (2007). SRTM. Reviews of Geophysics.,10.1029/2005RG000183,v3,WH module alias for SRTM. See srtm_dem_90m entry for full notes.,Voids in high-relief terrain. Not for: Engineering design,"Shuttle Radar Topography Mission digital elevation model, 1 arc-second (~30 m), 56°S-60°N.",grid,
worldclim_v2_precip,WorldClim v2.1 Monthly Precipitation,climate_hazard,drought,baseline,1970-2000,1000,"[""global""]",geotiff_cog,direct_download,https://www.worldclim.org/data/worldclim21.html,WORLDCLIM/V1/MONTHLY,CC-BY-4.0,Fick & Hijmans (2017). WorldClim 2. International Journal of Climatology.,10.1002/joc.5086,v2.1,Extract mean annual precipitation and wet-season monthly totals for SCS-CN runoff calculation.,30-year climatological mean; interannual variability not captured. Not for: Flood frequency analysis; design-storm estimation,WorldClim v2 monthly precipitation (1970-2000) at ~1 km.,grid,
mapspam_cocoa_2020,MapSPAM 2020 cocoa harvested area,structural_suitability,,,2020,10000,"[""global""]",geotiff,direct_download,https://mapspam.info/,,CC-BY-4.0,IFPRI (2024) MapSPAM 2020 Global Spatially-Disaggregated Crop Production.,,2020,Use harvested-area fraction as graded crop-presence constraint.,"~10 km; allocation-model estimate, not observed. Coarse for sub-national targeting. Not for: plot siting.",MapSPAM 2020 — gridded crop production allocation for cocoa at ~10 km.,grid,
gadm_v41_admin,GADM v4.1 administrative boundaries,geographic_context,,,2022,,"[""global""]",shapefile,direct_download,https://gadm.org/,,GADM-noncommercial,GADM (2022) Database of Global Administrative Areas v4.1.,,4.1,Country/region polygons for AOI + admin context scoping.,Boundary vintages vary by country; non-commercial licence. Not for: dispute adjudication.,GADM Database of Global Administrative Areas v4.1 — admin-0/1/2/3 boundary polygons.,vector,
glad_global_cropland_2019,GLAD Global Cropland 2019 (30m),geographic_context,,,,30,"[""global""]",geotiff_cog,gee_asset,https://glad.umd.edu/dataset/croplands,users/potapovpeter/Global_cropland_2019,CC-BY-4.0,"Potapov, P., Turubanova, S., Hansen, M. C., Tyukavina, A., Zalles, V., Khan, A., Song, X.-P., Pickens, A., Shen, Q., & Cortez, J. (2022). Global maps of cropland extent and change show accelerated cropland expansion in the twenty-first century. Nature Food, 3, 19-28.",10.1038/s43016-021-00429-z,2019,Use as binary cropland presence layer.,Cropland definition includes fallow + temporary cropping; rotational use may misclassify.,"Potapov et al. (2022) global cropland extent for the year 2019 at 30m, derived from Landsat time series. Binary cropland mask.",grid,
esa_worldcereal_2021,ESA WorldCereal 2021 (10m),geographic_context,,,,10,"[""global""]",geotiff_cog,direct_download,https://esa-worldcereal.org/en/products,,CC-BY-4.0,"Van Tricht, K., Degerickx, J., Gilliams, S., Zanaga, D., Battude, M., Grosu, A., Brombacher, J., Pelayo, Y. M., Lesiv, M., Buchhorn, M., Smets, B., Tarko, A., Szantoi, Z., Bauwens, I., Defourny, P., & Szilagyi, I. (2023). WorldCereal: a dynamic open-source system for global-scale, seasonal, and reproducible crop and irrigation mapping. Earth System Science Data, 15, 5491-5515.",10.5194/essd-15-5491-2023,2021,"Multi-layer: active_cropland, temporary_crops, irrigation. Pick layer per use.",Calibration variable by region; irrigation class is presence not intensity.,"ESA WorldCereal product (2020-2021 season) at 10m: active cropland + 4 seasonal crop classes (temporary crops, irrigated/rainfed). Used here as cropland + irrigation auxiliary.",grid,
glw4_livestock_2020,"Gridded Livestock of the World v4 (GLW4, 2020)",geographic_context,,,,10000,"[""global""]",geotiff,direct_download,https://dataverse.harvard.edu/dataverse/glw,,CC-BY-4.0,"Gilbert, M., Nicolas, G., Cinardi, G., Van Boeckel, T. P., Vanwambeke, S. O., Wint, G. R. W., & Robinson, T. P. (2018). Global distribution data for cattle, buffaloes, horses, sheep, goats, pigs, chickens and ducks in 2010. Scientific Data, 5, 180227. (v4 update 2024).",10.1038/sdata.2018.227,v4 (2024),Sum across ruminant species (cattle + buffalo + sheep + goats) for total ruminant density; convert TLU using ILRI weights for fair comparison.,"Modelled (dasymetric), not observed; uncertainty highest in pastoral / mobile-herd contexts.","FAO/ILRI/UMR-SELMET gridded livestock density (per species: cattle, buffalo, sheep, goats, pigs, chickens, ducks, horses) at ~10 km, year 2015 baseline (v4 release 2024).",grid,
fao_gmia_v5,FAO Global Map of Irrigation Areas v5 (GMIA),geographic_context,,,,10000,"[""global""]",geotiff,direct_download,https://www.fao.org/aquastat/en/geospatial-information/global-maps-irrigated-areas/,,CC-BY-4.0,"Siebert, S., Henrich, V., Frenken, K., & Burke, J. (2013). Update of the digital global map of irrigation areas to version 5. FAO/Rheinische Friedrich-Wilhelms-Universität Bonn.",,v5,"Area equipped for irrigation is potential, not actual irrigation use; combine with WorldCereal irrigation for refinement.",Coarse resolution; lags real-world updates; rainfed mosaics may be misclassified at coarse aggregation.,"FAO/Rheinische Friedrich-Wilhelms-Universität Bonn GMIA v5 — area equipped for irrigation as % of cell, at 5 arc-minute (~10 km).",grid,
bii_nhm_global,Biodiversity Intactness Index (BII) — NHM/RSPB/UNEP-WCMC,opportunity_space,,,,1000,"[""global""]",geotiff,direct_download,https://data.nhm.ac.uk/dataset/global-map-of-the-biodiversity-intactness-index-from-newbold-et-al-2016-science,,CC-BY-4.0,"Newbold, T., Hudson, L. N., Arnell, A. P., Contu, S., De Palma, A., Ferrier, S., ... & Purvis, A. (2016). Has land use pushed terrestrial biodiversity beyond the planetary boundary? A global assessment. Science, 353(6296), 288-291.",10.1126/science.aaf2201,2016,"BII is a 0-100 (or 0-1) intactness index — invert if framing biodiversity_priority as 'higher = more concern' (i.e. priority = 1 - intactness, so lowest-intactness areas surface).",Modelled (PREDICTS database); systematic uncertainty in under-sampled biomes. Doesn't capture rare-species hotspots — pair with KBA polygons as a binary high-priority flag.,"Global Biodiversity Intactness Index — modelled remaining proportion of local biodiversity intactness vs an undisturbed baseline, ~1 km global gridded surface.",grid,
