search_id,nbs_id,suitability_family_id,table,category,search_terms,screening_steps,inclusion_criteria,limits,n_retrieved,n_screened,n_included,search_date,run_id,searched_by,ruleset_version,discovery_log_ref,note
agroforestry__T4__tool__agroforestry__silvopastoral__2026-08-04,agroforestry,agroforestry__silvopastoral,T4,tool,GitHub+WebSearch: silvopasture land-suitability GEE/GIS MCDA; repo saraheb3/AgroforestrySuitability_GEE@af338e8 - Agroforestry-Suitability-Map:79 practice==3=silvopasture; branch gates CDLpasture(class176) AND non-forest,frame|source_type|relevance|credibility_six_axis|saturation_stop,"F3 silvopasture/silvopastoral practice explicit (PICOS); bears on T4 suitability: biophysical envelope + grazing/forage/stocking system-constraint; exclude species-envelope tree-growth scripts, low-tier/predatory venues, constrained-AOI, uncacheable",bounded authority-weighted seed-set ~15-20; OA/downloadable preferred; screen<=50,7,2,1,2026-08-04,silvopastoral_t4_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T4_2026-08.md,saraheb3/AgroforestrySuitability_GEE commit af338e8 MIT. Per-species tree-growth scripts EXCLUDED (species envelopes). Rule=system_constraint pasture land-cover gate; dataset US CDL/NASS (temperate-US caveat); claim_basis=expert_assertion
agroforestry__T4__stock__agroforestry__planted_silvoarable__2026-08-05,agroforestry,agroforestry__planted_silvoarable,T4,stock,"OpenAlex title.search: (""alley cropping"" OR ""silvoarable"" OR ""hedgerow intercropping"" OR ""tree intercropping"" OR parkland) AND (suitability OR climate OR rainfall OR soil OR slope) ; sort=cited_by_count:desc",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,397,12,3,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_planted_silvoarable_T4_2026-08.md,"High-cite slice dominated by Sahel parkland process studies (Bayala et al.) which are practice-level and T4-relevant. Substantial NOISE from 'parkland' = Canadian Aspen Parkland ecology (duck abundance, boreal analogue) — excluded, not agroforestry. Faidherbia-specific hits flagged as species-envelope."
agroforestry__T4__updated_lit__agroforestry__planted_silvoarable__2026-08-05,agroforestry,agroforestry__planted_silvoarable,T4,updated_lit,"OpenAlex title.search: (""alley cropping"" OR silvoarable OR ""trees on farms"" OR ""trees outside forests"" OR parkland OR ""hedgerow intercropping"") AND (suitability OR mapping OR GIS OR ""land suitability"" OR potential OR zonation) ; from_publication_date:2015-01-01 ; sort=cited_by_count:desc  +  WebSearch: 'ICRAF FAO agroforestry suitability mapping trees on farms parkland rainfall soil requirements technical guideline'",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,104,12,3,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_planted_silvoarable_T4_2026-08.md,"Recent suitability/mapping slice. Best T4-method hits: Burkina Faso climatic-zone parkland profiles (diamond OA, LMIC), Indonesia trees-on-farms adoption/potential (system-side), and FAO-guideline geospatial agroforestry suitability mapping (India, explicit criteria set). TOF-detection papers (Switzerland) are method-for-distribution but temperate/high-income, downweighted."
agroforestry__T4__grey__agroforestry__planted_silvoarable__2026-08-05,agroforestry,agroforestry__planted_silvoarable,T4,grey,WebSearch EN: 'WOCAT alley cropping silvoarable parkland agroforestry land suitability biophysical requirements manual' ; 'ICRAF FAO agroforestry suitability mapping trees on farms parkland rainfall soil requirements technical guideline' ; 'Faidherbia albida parkland rainfall range mm agroecological zone Sahel establishment FAO WOCAT technology',frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,24,10,2,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_planted_silvoarable_T4_2026-08.md,"FAO Conservation Guide 'Agroforestry parklands in sub-Saharan Africa' (x3940e) and USDA-NAC alley-cropping note are practice-level OA. WOCAT SLM DB returned NO direct silvoarable/alley technology entry via web index — needs direct WOCAT portal query next iteration. Faidherbia grey docs are single-species envelopes (species lane, not T4 practice)."
agroforestry__T4__tool__agroforestry__planted_silvoarable__2026-08-05,agroforestry,agroforestry__planted_silvoarable,T4,tool,WebSearch: 'GitHub agroforestry land suitability GEE Earth Engine MCDA model alley cropping trees on farms' ; then GitHub API inspection of saraheb3/AgroforestrySuitability_GEE @ commit af338e8251c6bde4fa46caccf4e92124f80d7623 (tree + raw gee_script/Agroforestry-Suitability-Map),frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,6,3,1,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_planted_silvoarable_T4_2026-08.md,One strong repo (Castle et al. US-Midwest MCDA). AgriSuit / AgKit4EE are NbS-agnostic agricultural-land tools (PICOS fail — no explicit agroforestry practice branch). Per-species tree-growth scripts in the repo (Apple/Walnut/Chestnut/etc.) IGNORED as species envelopes.
agroforestry__T4__stock__agroforestry__shaded_perennial__2026-08-05,agroforestry,agroforestry__shaded_perennial,T4,stock,OpenAlex title.search: (coffee OR cocoa) AND climate AND suitability ; sort=cited_by_count:desc ; per_page=12,frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,30,14,2,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_shaded_perennial_T4_2026-08.md,"Seminal crop-envelope slice. Coffee/cocoa bioclimatic suitability = the gating envelope for F5 (crop-as-parameter, in-scope under allow_crop_scope). Dropped bird/pollinator-habitat and single-district papers as off-scope for a practice-level T4 envelope. First narrower query '(shaded OR shade-grown) AND (coffee OR cocoa) AND suitability' returned only TOTAL=1 (a bird-habitat paper), so broadened."
agroforestry__T4__updated_lit__agroforestry__shaded_perennial__2026-08-05,agroforestry,agroforestry__shaded_perennial,T4,updated_lit,"OpenAlex title.search: (shade OR shaded) AND (cocoa OR cacao) AND (yield OR microclimate) , from_publication_date:2015-01-01 ; sort=cited_by_count:desc || complementary title search: coffee arabica shade meta-analysis optimal shade percent yield",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,26,12,4,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_shaded_perennial_T4_2026-08.md,Recent shade-response + suitability-buffer slice. Koutouleas 2022 arabica shade meta-analysis retrieved via the complementary coffee title search (cocoa query is cocoa-only). Excluded carbon-storage / biodiversity-yield (ants/birds/bats) papers as off-scope for T4 structural suitability.
agroforestry__T4__grey__agroforestry__shaded_perennial__2026-08-05,agroforestry,agroforestry__shaded_perennial,T4,grey,WebSearch EN: 'shaded coffee cocoa agroforestry suitability optimal shade level recommendation WOCAT ICRAF CIFOR manual' || WebSearch ES: 'cafe con sombra cacao agroforestal zonificacion aptitud altitud requerimientos FAO CIPAV manual tecnico',frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,20,10,4,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_shaded_perennial_T4_2026-08.md,"LMIC-grounded field manuals + agroecological-zoning guides. Dominican Republic Min. Environment REDD+ guides (cafe/cacao bajo sombra) and CENICAFE (Colombian coffee authority) give explicit altitude/temp/precip/slope envelopes. WOCAT SLM DB returned nothing specific; ShadeMotion is a shade-geometry tool, not a suitability manual."
agroforestry__T4__tool__agroforestry__shaded_perennial__2026-08-05,agroforestry,agroforestry__shaded_perennial,T4,tool,"GitHub API repositories q= 'coffee suitability earth engine' (0), 'cocoa suitability random forest' (1), 'coffee land suitability GIS' (0), 'land suitability MCDA agriculture' (0), 'shade coffee model' (0)",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,1,1,1,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_shaded_perennial_T4_2026-08.md,"Thin tool landscape. Only fabiolexcastro/cocoa_Col (R, cocoa RF+PCA suitability). Inspected clustering.R at HEAD 159ee07: data-driven PCA/RandomForest over bioclim vars, NO hardcoded thresholds/weights/masks (like spatMCDA.R) -> no extractable EV claim. ShadeMotion is proprietary/closed-source, cannot be code-evidenced."
agroforestry__T4__stock__agroforestry__linear_boundary__2026-08-05,agroforestry,agroforestry__linear_boundary,T4,stock,"OpenAlex title.search boolean queries: (1) (windbreak OR shelterbelt OR shelterbelts) AND (suitability OR siting OR establishment OR design OR wind); (2) (shelterbelt OR windbreak) AND (crop OR yield OR agriculture OR farmland); (3) (hedgerow OR ""living fence"" OR ""live fence"" OR ""contour hedge"") AND (agroforestry OR suitability OR erosion OR slope OR farm); (4) (""riparian buffer"" OR ""vegetative buffer"" OR ""buffer strip"") AND (suitability OR siting OR placement OR watershed OR agricultural); sort=cited_by_count:desc",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,1450,36,6,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_linear_boundary_T4_2026-08.md,"Real OpenAlex totals per query: Q1=458, Q2=465, Q3=230, Q4=297. Seminal slice well-populated across all three F4 line functions (wind shelter, contour erosion hedge, riparian/vegetative buffer). Screened out pure ecology/biodiversity/insect-dispersal and wind-tunnel fluid-dynamics papers (no suitability envelope). Kept design-rule, wind-erosion-control, slope/erosion and placement papers + LMIC contour-hedge cases."
agroforestry__T4__updated_lit__agroforestry__linear_boundary__2026-08-05,agroforestry,agroforestry__linear_boundary,T4,updated_lit,"OpenAlex title.search, filter from_publication_date:2015-01-01, sort=cited_by_count:desc: (5) (windbreak OR shelterbelt OR hedgerow OR ""living fence"" OR ""riparian buffer"") AND (GIS OR ""suitability mapping"" OR ""spatial prioritization"" OR ""spatial prioritisation"" OR ""multi-criteria""); (6) (windbreak OR shelterbelt OR ""living fence"" OR hedgerow) AND (Africa OR Sahel OR ""Latin America"" OR tropical OR smallholder OR ""wind erosion"")",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,45,17,5,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_linear_boundary_T4_2026-08.md,"Q5 (explicit spatial-suitability method slice) total=only 5 works — thin; the one true MCDA land-suitability paper is Saskatchewan fuzzy-logic (W2998812581). Q6 total=40, recency slice biased to China/Europe wind-erosion; one South-Africa (W3012333360) and one tropical-riparian synthesis (W2894223577) give LMIC context. Suitability-mapping method literature for F4 is genuinely sparse."
agroforestry__T4__grey__agroforestry__linear_boundary__2026-08-05,agroforestry,agroforestry__linear_boundary,T4,grey,"WebSearch (EN+ES): ""windbreak shelterbelt design site selection field manual FAO smallholder wind erosion guidelines""; ""WOCAT SLM technology living fence contour hedgerow windbreak land suitability requirements""; ""CIPAV cercas vivas setos forrajeros establecimiento condiciones suelo clima ganaderia Colombia""; ""riparian buffer siting tool NRCS forest buffer suitability model GIS chesapeake prioritization""",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,28,18,4,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_linear_boundary_T4_2026-08.md,"Authority-org standards dominate: USDA-NRCS CPS 380 (windbreak) & 391 (riparian forest buffer) carry explicit rule thresholds (perpendicular to prevailing wind, 40-50% permeability, 10H protected zone, site-saturation species). WOCAT QCat platform holds LMIC line-planting technologies with land-use context. CIPAV (Colombia) covers living-fence/forage-hedge establishment (climate/soil, Leucaena) in Spanish — strong LMIC context tie-break."
agroforestry__T4__tool__agroforestry__linear_boundary__2026-08-05,agroforestry,agroforestry__linear_boundary,T4,tool,"GitHub API search/repositories: q=""windbreak shelterbelt suitability GIS""; q=""riparian buffer GIS""; q=""hedgerow detection remote sensing""; q=""riparian forest buffer prioritization"" (Accept: application/vnd.github+json). Platforms: Maryland Watershed Resources Registry / Chesapeake riparian prioritization; WOCAT QCat.",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 suitability = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,2,2,1,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_linear_boundary_T4_2026-08.md,"WEAK AXIS. GitHub returned total_count 0 for windbreak/shelterbelt-suitability; 2 low-signal repos for riparian buffer (detection/flood, no hardcoded F4 suitability weights); hedgerow-detection query errored/empty. No open-source repo with extractable per-practice line-planting suitability weights/thresholds found. Closest operational tool is the rule-based Maryland WRR / Chesapeake riparian-preservation suitability scorer (web app, criteria documented but no accessible source code to pin commit"
agroforestry__T4__stock__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T4,stock,OpenAlex title.search runs (cited_by_count desc): 'homegardens' (775); 'home gardens agroforestry' (48); 'homegarden diversity' (166); 'homestead agroforestry' (54); '(homegarden OR home garden OR homestead agroforestry OR compound farm) tropical' (487),frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,775,40,3,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T4_2026-08.md,"Dominant high-cite corpus is OUTCOME literature (agrobiodiversity, plant-species inventories, carbon stocks, nutrition/food-security). Genuine T4 SUITABILITY signal is thin and mostly framed as system_constraint (homesteads gate location) + a broad humid-tropical biophysical envelope. Included the seminal structural/distribution reviews (Nair lineage) that characterise where homegardens occur; excluded per-species ethnobotany/carbon-outcome papers as off-scope for T4."
agroforestry__T4__updated_lit__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T4,updated_lit,"OpenAlex title.search, from_publication_date:2015-01-01: 'homegarden suitability' (0); 'homegarden distance homestead' (0); 'homegarden spatial distribution mapping' (0); 'homegarden climate' (16); 'homestead agroforestry adoption' (1); 'home garden agroforestry tropical' (2015+) (1)",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,16,16,1,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T4_2026-08.md,"suitability / proximity / spatial-mapping title queries returned ZERO — no recent paper frames homegarden establishment as a spatial-suitability problem at title level. Recent corpus is climate-adaptation / mitigation / resilience-index OUTCOMES. Best T4-relevant recent item is the South Asia climate-variability & adaptation multi-country study (climatic context envelope), OA diamond. Rift-Valley/Tigray/Boloso-Sore items are adaptation/mitigation outcomes, low T4 value."
agroforestry__T4__grey__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T4,grey,"WebSearch EN: 'WOCAT tropical homegarden homestead agroforestry SLM technology suitability'; 'FAO home garden agroforestry establishment requirements climate soil rainfall tropical guidelines'; ES: '""home garden"" OR ""huerto familiar"" agroforestería suitability requisitos climáticos altitud tropical'",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,25,12,3,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T4_2026-08.md,Best structured suitability grey source is WOCAT SLM DB (land_use = settlements; per-technology climate/altitude/slope/soil fields) — Chagga Homegardens #1337 is a PICOS-clean tropical multistrata homegarden. WOCAT 'Agroforestry and home gardens' SLM/gender PDF and CATIE Spanish establishment manual add site-selection context. FAO agroforestry primer is generic (site factors named: climate/soil/drainage/rainfall) but not homegarden-specific — supporting only.
